Nº de processos,IO de Rede (Sync),CPU (Sync),IO de Rede (Async),CPU (Async)
10,1.85,0.039999999999999813,0.63,0.08000000000000007
50,11.93,0.5199999999999996,0.43,0.51
100,20.21,1.0599999999999987,0.47000000000000003,1.2
1000,227.2,6.130000000000024,3.5300000000000002,12.889999999999997
