Nº de processos,IO de Rede (Sync),CPU (Sync),IO de Rede (Async),CPU (Async)
10,1.3433333333333335,0.05999999999999991,0.3233333333333333,0.040000000000000036
50,9.153333333333334,0.48666666666666575,0.29,0.13999999999999993
100,22.74,0.9500000000000028,0.31,0.3033333333333334
