Nº de processos,IO de Rede (Sync),CPU (Sync),IO de Rede (Async),CPU (Async)
10,1.85,0.039999999999999813,0.1575,0.020000000000000018
50,11.93,0.5199999999999996,0.1075,0.1275
100,20.21,1.0599999999999987,0.11750000000000001,0.3
1000,227.2,6.130000000000024,0.8825000000000001,3.2224999999999993
